t,x,y,z
150.975,1.2071618025211324,1.9262325616692126,13.443256054093181
150.98,1.2442408765900617,2.006062609307395,13.277167151223702
150.985,1.2834843907119062,2.0893240221785043,13.114165771844398
150.99,1.3249451410438648,2.176215537635299,12.954286598774093
150.995,1.3686839647840499,2.2669409494507797,12.797572748125875
151.0,1.414803305571715,2.361687836250518,12.64409556784044
151.005,1.463394329427866,2.460661140964755,12.493897446038567
151.01,1.5145479315646828,2.564080305819795,12.347027083322583
151.015,1.568362128367161,2.6721750835615485,12.203548982220884
151.02,1.624942057393438,2.78518553745618,12.06354344718714
151.025,1.6843999773734928,2.9033620412875183,11.927106584603473
151.03,1.7468552682110745,3.0269652793609043,11.794350302775667
151.035,1.8124344309824354,3.156266246500661,11.665402311936377
151.04,1.881271087936629,3.2915462480506887,11.540406124244335
151.045,1.9535059824955416,3.4330968998745277,11.419521053784319
151.05,2.0292869792543033,3.581220128356158,11.30292221656654
151.055,2.108769063979554,3.7362281703966187,11.190800530529243
151.06,2.1921143436120243,3.8984435734190415,11.08336271553475
151.065,2.2794920462648682,4.068199195365404,10.980831293372091
151.07,2.371078521223998,4.245838204697171,10.883444587756417
151.075,2.467057238948197,4.431714080395528,10.79145672432889
151.08,2.5675959443481355,4.62604898731093,10.70518664377417
151.085,2.6728307064546515,4.828805145618337,10.625073054551363
151.09,2.7830125889523094,5.040581558598964,10.551386924673032
151.095,2.898403249136591,5.261997954940199,10.48444722845837
151.1,3.0192646903494875,5.4936328035999225,10.424642250653672
151.105,3.1458592619794943,5.736023313806499,10.372429586432357
151.11,3.2784496594623813,5.989665435060255,10.328336141394718
151.115,3.4172989242781497,6.25501385712765,10.292958131568898
151.12,3.562670443955547,6.532482010049919,10.26696108340937
151.125,3.7148279520690872,6.822442064137367,10.25107983379799
151.13,3.8740355282398005,7.12522492997081,10.246118530043736
151.135,4.0405575981352175,7.441120258401539,10.252950629882694
151.14,4.214658933469365,7.770376440551317,10.27251890147805
151.145,4.396604652003848,8.11320060781441,10.30583542342035
151.15,4.586660217543605,8.469758631849594,10.353981584726602
151.155,4.785091439943273,8.840175124592156,10.418108084841554
151.16,4.992164475102859,9.224533438245725,10.499434933636802
151.165,5.208145824968906,9.622875665284477,10.599251451411082
151.17,5.433302337534548,10.035202638453237,10.718916268890323
151.175,5.667901206840674,10.461473930769564,10.859857327228315
151.18,5.912209972970707,10.901607855514301,11.023571878003569
151.185,6.166496522058536,11.35548146624599,11.211626483224023
151.19,6.430769191096786,11.82272158475482,11.425286309522157
151.195,6.7043471272131,12.302221024548526,11.665269235974966
151.2,6.987721703871171,12.793473599346862,11.934495760281944
151.205,7.281363846555895,13.29569939311402,12.235905472730689
151.21,7.585572984297596,13.807729953001237,12.572215183761603
151.215,7.9004770496820536,14.32800828936394,12.945918923978173
151.22,8.226032478843862,14.854588875750364,13.359287944140275
151.225,8.562024211468096,15.385137648904399,13.81437071516584
151.23,8.90806569079028,15.916932008765565,14.312992928130809
151.235,9.263598863598485,16.44686081847205,14.856757494272422
151.24,9.62789418022513,16.97142440434862,15.447044544976501
151.245,10.000050594559154,17.486734555924766,16.085011431796087
151.25,10.378995564037963,17.988514525922582,16.771592726439255
151.255,10.763485049649434,18.47209903025982,17.50750022077212
151.26,11.152103515931927,18.93243424804988,18.293222926818874
151.265,11.543263930974241,19.36407782160179,19.129027076761677
151.27,11.935207766417843,19.76119885642234,20.014956122945822
151.275,12.326013452172903,20.117601782509784,20.950820140625602
151.28,12.714564027925746,20.429388852347913,21.93410287978568
151.285,13.098623887174565,20.68968755947186,22.960249272935794
151.29,13.475009512049054,20.889805449820223,24.024695079340734
151.295,13.840588768080504,21.02215757612742,25.122214162728362
151.3,14.19228090420375,21.080266497923805,26.246918491296082
151.305,14.527056552749258,21.05876228153477,27.392258137685097
151.31,14.841937729455134,20.95338250008277,28.551021279018823
151.315,15.133997833459041,20.76097223348554,29.715334196877436
151.32,15.400361647300226,20.479484068456614,30.876661277304194
151.325,15.638205336919535,20.107978098505388,32.02580501080543
151.33,15.8447564516605,19.646621923934234,33.15290599235686
151.335,16.017293924264788,19.09669065184945,34.2474429213781
151.34,16.153148070879272,18.46056689614547,35.298232601771225
151.345,16.249700591051162,17.741740777514966,36.293429941894885
151.35,16.30438456772932,16.94480992344664,37.22052795457073
151.355,16.31474359340274,16.075932313507007,38.06679313390766
151.36,16.279730752460424,15.147745855051426,38.82573672476537
151.365,16.199568159419318,14.171758940981485,39.492977947387104
151.37,16.074790280509088,13.158302594240364,40.06465626284793
151.375,15.906260593770877,12.117617605984314,40.538209438942985
151.38,15.695171589057257,11.059854535577538,40.912373550192044
151.385,15.443044768032212,9.995073710592184,41.18718297783952
151.39,15.151730644171153,8.93324522680837,41.36397040985446
151.395,14.823408742758925,7.884248948208215,41.44536684093075
151.4,14.460587600897536,6.857874506999734,41.43530157248583
151.405,14.066104767494886,5.86382130358087,41.33900221266339
151.41,13.64312680327205,4.9116985065635115,41.162994676331046
151.415,13.195149410973482,4.01101907657932,40.91510241110645
151.42,12.726079208343343,3.1661938078326686,40.603712510846805
151.425,12.239947440548661,2.377289234400591,40.23704755713382
151.43,11.740534101825354,1.6458744065535278,39.823175938028456
151.435,11.231395593700274,0.9728247514706692,39.369668383669364
151.44,10.715864725002193,0.35832207325823295,38.88359796628095
151.445,10.197050711859085,-0.1981454470551976,38.37154010017147
151.45,9.677839177698113,-0.6977832515186647,37.83957254173299
151.455,9.160892153242735,-1.1424904052611968,37.29327538943831
151.46,8.64864807652439,-1.5348595964820524,36.737731083853376
151.465,8.143321792864922,-1.8781771364658184,36.17752440761873
151.47,7.646904554888271,-2.176422959572061,35.61674248546175
151.475,7.161164022517627,-2.4342706232379223,35.058974784193694
151.48,6.687652506656827,-2.6561816933354825,34.507080558430296
151.485,6.227527616684357,-2.8437097300815095,33.96234361357889
151.49,5.781532670326427,-3.000024142501723,33.42592374442725
151.495,5.35028330513841,-3.1283526242317894,32.89885335853305
151.5,4.9342805001357775,-3.2317475423995927,32.38199073596842
151.505,4.533910575791441,-3.313085937626398,31.876020029316795
151.51,4.14944519403575,-3.3750695240268502,31.381451263672933
151.515,3.781041358256501,-3.4202246892089754,30.898620336642903
151.52,3.428741413296945,-3.4509024942743154,30.427689018341432
151.525,3.0924730454637954,-3.4692786738173167,29.968644951402624
151.53,2.7720492825150855,-3.4773536359263577,29.52130165096376
151.535,2.4671684936683675,-3.4769524621829815,29.08529850467618
151.54,2.1774150360653355,-3.469727984262035,28.6601154498537
151.545,1.9022950466840653,-3.4571819049290893,28.24548971470128
151.55,1.6412903366949747,-3.4405216243180234,27.84110668484237
151.555,1.3938707393956185,-3.4208214050797676,27.44654819913041
151.56,1.1594976017284457,-3.399075455918964,27.061414026985478
151.565,0.9376237842868103,-3.3761979315943287,26.68532186840352
151.57,0.7276936613134486,-3.353022932918568,26.317907353954066
151.575,0.5291431207004745,-3.330304506758379,25.958824044780183
151.58,0.34139956398834637,-3.3087166460343314,25.607743432596525
151.585,0.16388190637007288,-3.28885328972135,25.264354939697274
151.59,-0.003999423315170937,-3.271228322847976,24.928365918944195
151.595,-0.1628424825777664,-3.2562755764968676,24.599501653774542
151.6,-0.31325381527868407,-3.2443488278046733,24.2775053581992
151.605,-0.4558484516294973,-3.235721799962031,23.962138176802647
151.61,-0.59125273977183,-3.2305900183341496,23.65317780377244
151.615,-0.7201007188691001,-3.2291501278629084,23.350399749651412
151.62,-0.8428481697110112,-3.2316263371724263,23.05363395206997
151.625,-0.9599057578539166,-3.23822023122443,22.76273829508699
151.63,-1.0716849324419966,-3.249114770264944,22.47758311895062
151.635,-1.1785979262072583,-3.2644742898242884,22.19805122009826
151.64,-1.2810577554695366,-3.284444500717082,21.924037851156587
151.645,-1.3794782201370408,-3.3091524890423916,21.655450720940006
151.65,-1.4742739037041432,-3.338706716183147,21.39220999445677
151.655,-1.5658601732547284,-3.3731970188069837,21.134248292899777
151.66,-1.6546531794599404,-3.4126946088657055,20.881510693652746
151.665,-1.7410698565787492,-3.457252073595416,20.633954730288636
151.67,-1.8255279224579484,-3.5069033755165058,20.391550392569695
151.675,-1.9084458785326317,-3.5616638524340005,20.15428012644608
151.68,-1.990243009824313,-3.621530217436275,19.922138834061215
151.685,-2.071328163027931,-3.6864901433735944,19.695134320281305
151.69,-2.1519309467661785,-3.756666413575609,19.473293565961843
151.695,-2.232249593841327,-3.832199349464317,19.256656479250022
151.7,-2.3125086173662996,-3.913207102882059,19.045274510011033
151.705,-2.392935994025178,-3.99980580157429,18.839211665181328
151.71,-2.4737631640713684,-4.092109549187577,18.638544508773265
151.715,-2.555225031330347,-4.1902304252725555,18.443362161868095
151.72,-2.6375599631978317,-4.294278485281989,18.25376630262066
151.725,-2.721009790640235,-4.404361760571245,18.06987116625824
151.73,-2.8058198081946744,-4.520586258398303,17.8918035450805
151.735,-2.892238773969453,-4.643055961924449,17.71970278845858
151.74,-2.9805189096421008,-4.771872830211483,17.55372080283895
151.745,-3.070915900462319,-4.907136798225884,17.394022051737526
151.75,-3.1636888952499995,-5.048945776836022,17.24078355574367
151.755,-3.259100506395772,-5.197395652812958,17.094194892519088
151.76,-3.3574019495302694,-5.352580019122883,16.954463995120534
151.765,-3.458724124580952,-5.514639113935643,16.82185821592852
151.77,-3.5632288092385163,-5.683788394272697,16.696651780889084
151.775,-3.6710941287109367,-5.860231474208732,16.579140620177498
151.78,-3.782498440801461,-6.044152416655516,16.469649211922626
151.785,-3.8976203359062533,-6.235715733358098,16.368530582209843
151.79,-4.016638637014977,-6.435066384895744,16.276166305080267
151.795,-4.1397323997107955,-6.642329780681936,16.192966502530798
151.8,-4.267080912171115,-6.857611778965633,16.1193698445137
151.805,-4.398863695164652,-7.080998686826312,16.055843548938228
151.81,-4.53526050205579,-7.312557260181328,16.00288338166812
151.815,-4.676451318801693,-7.552334703781033,15.96101365652332
151.82,-4.8226163639530295,-7.800358671210016,15.930787235279535
151.825,-4.973936088653962,-8.056637264887065,15.912785527668234
151.83,-5.13059117664309,-8.321159036066778,15.907618491376665
151.835,-5.2927625442497925,-8.593892984833364,15.915924632047885
151.84,-5.460578046088995,-8.874746323367706,15.938311357269844
151.845,-5.633871396385586,-9.163405796508263,15.975175699352139
151.85,-5.812826717423744,-9.45983723088853,16.02748858646618
151.855,-5.997661730818872,-9.763952190389535,16.09629928052312
151.86,-6.188544036246097,-10.075535389344342,16.182628912461322
151.865,-6.385591111435902,-10.394244692530918,16.28747048224432
151.87,-6.588870312180631,-10.719611115182778,16.411788858863744
151.875,-6.798398872330184,-11.051038822981917,16.55652078033746
151.88,-7.014143903793085,-11.387805132060585,16.72257485371002
151.885,-7.236022396536479,-11.729060509001254,16.910831555052642
151.89,-7.463901218586152,-12.07382857083667,17.122143229463244
151.895,-7.69759711602785,-12.421006085051786,17.357334091067834
151.9,-7.936876713001927,-12.769362969575853,17.617200223014983
151.905,-8.18145651171135,-13.117542292794303,17.90250957748392
151.91,-8.431002892416386,-13.464060273540825,18.214001975679256
151.915,-8.685132113435916,-13.807306281099349,18.55238910783228
151.92,-8.943410311147545,-14.145542835204157,18.91835453320111
151.925,-9.205353499988858,-14.476905606041464,19.312553680072636
151.93,-9.47042824374689,-14.799416622034865,19.735604694889513
151.935,-9.738096594416588,-15.112287994477619,20.186957255635544
151.94,-10.007607807618644,-15.413004212267635,20.666338595698665
151.945,-10.278062393800921,-15.6977985292326,21.17395087461245
151.95,-10.548498463828778,-15.963104739873774,21.709611798067566
151.955,-10.817891728986615,-16.205557179367304,22.27275461791502
